"Time (s)"	"Illuminance (lx)"
8.130612539E0	2.037000000E3
8.210964003E0	2.077000000E3
8.251124477E0	2.137000000E3
8.291284951E0	2.176000000E3
8.331414908E0	2.235000000E3
8.412163095E0	2.373000000E3
8.451743745E0	2.435000000E3
8.491904218E0	2.546000000E3
8.532003658E0	2.621000000E3
8.571919995E0	2.694000000E3
8.611927884E0	2.820000000E3
8.652576631E0	2.911000000E3
8.692065729E0	3.052000000E3
8.732134651E0	3.154000000E3
8.772234091E0	3.326000000E3
8.812303014E0	3.437000000E3
8.852402454E0	3.629000000E3
8.893142752E0	3.750000000E3
8.932723401E0	3.924000000E3
8.972822841E0	4.027000000E3
9.012891764E0	4.172000000E3
9.053082755E0	4.268000000E3
9.093212712E0	4.397000000E3
9.173503142E0	4.555000000E3
9.213572065E0	4.688000000E3
9.253702022E0	4.777000000E3
9.293862496E0	4.917000000E3
9.334022970E0	5.024000000E3
9.374732751E0	5.182000000E3
9.414313400E0	5.294000000E3
9.454443357E0	5.477000000E3
9.494603831E0	5.605000000E3
9.534794822E0	5.812000000E3
9.574924779E0	5.984000000E3
9.615634560E0	6.256000000E3
9.655215210E0	6.452000000E3
9.695375683E0	6.762000000E3
9.735536157E0	6.987000000E3
9.775727148E0	7.359000000E3
9.815857105E0	7.622000000E3
9.856566886E0	7.894000000E3
9.896178052E0	8.324000000E3
9.976346415E0	9.017000000E3
1.001653741E1	9.287000000E3
1.005669788E1	9.693000000E3
1.009740766E1	9.912000000E3
1.013701883E1	1.019200000E4
1.017717930E1	1.036000000E4
1.021733978E1	1.056900000E4
1.025753077E1	1.069000000E4
1.029759969E1	1.088800000E4
1.033830947E1	1.106100000E4
1.037792064E1	1.127600000E4
1.041808111E1	1.144700000E4
1.045821107E1	1.179100000E4
1.049840206E1	1.207400000E4
1.053853202E1	1.235600000E4
1.057927231E1	1.281300000E4
1.061888348E1	1.311200000E4
1.065901344E1	1.344000000E4
1.069917391E1	1.361200000E4
1.073936490E1	1.384300000E4
1.077949486E1	1.404800000E4
1.082017412E1	1.442100000E4
1.085972426E1	1.470400000E4
1.089988473E1	1.510100000E4
1.093995365E1	1.529800000E4
1.098008361E1	1.554500000E4
1.102018305E1	1.571700000E4
1.106083180E1	1.616000000E4
1.114048137E1	1.691500000E4
1.118064184E1	1.727800000E4
1.122080232E1	1.740000000E4
1.126093227E1	1.754200000E4
1.130167257E1	1.776600000E4
1.134125322E1	1.814400000E4
1.138138318E1	1.828100000E4
1.142154365E1	1.859900000E4
1.146170412E1	1.895900000E4
1.150186460E1	1.943300000E4
1.154257438E1	1.976800000E4
1.158218555E1	2.024000000E4
1.162234602E1	2.057300000E4
1.166250649E1	2.105900000E4
1.170251438E1	2.137400000E4
1.174264434E1	2.201000000E4
1.178338464E1	2.248200000E4
1.182299580E1	2.305900000E4
1.186315628E1	2.344400000E4
1.190331675E1	2.374800000E4
1.194347722E1	2.406600000E4
1.198363770E1	2.426900000E4
1.202434748E1	2.473000000E4
1.206395865E1	2.507900000E4
1.210411912E1	2.579600000E4
1.214427959E1	2.628600000E4
1.218447059E1	2.689400000E4
1.222460054E1	2.714900000E4
1.226534084E1	2.725400000E4
1.230492149E1	2.730300000E4
1.234508196E1	2.750900000E4
1.238527296E1	2.776300000E4
1.242543343E1	2.828700000E4
1.246565494E1	2.863000000E4
1.250636472E1	2.890500000E4
1.254591485E1	2.918800000E4
