"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
9.312521150E-1	-9.984452277E-2	1.634674072E-1	1.369552612E-1	2.354724305E-1
9.393086470E-1	7.623620331E-4	1.276626587E-1	3.165456951E-1	3.413202495E-1
9.473651790E-1	2.459185943E-2	1.541042328E-1	3.699863553E-1	4.015504666E-1
9.554217100E-1	1.043619961E-2	1.182918549E-1	3.741143942E-1	3.925091809E-1
9.634477240E-1	7.046908140E-2	1.112003326E-1	4.033324122E-1	4.242740154E-1
9.715042560E-1	7.780863345E-2	1.184673309E-1	3.184596598E-1	3.485760274E-1
9.795607870E-1	-7.751345634E-3	1.065549850E-1	2.640500665E-1	2.848446696E-1
9.876173190E-1	-7.387948036E-2	1.209583282E-1	1.870775074E-1	2.347063880E-1
9.956738510E-1	-9.217793494E-2	1.353445053E-1	1.159705967E-1	2.006591291E-1
1.003730381E0	-9.146584570E-2	1.329545975E-1	4.607363045E-2	1.678264143E-1
1.011756396E0	-2.709254622E-4	1.329593658E-1	6.491515040E-2	1.479602755E-1
1.019812928E0	7.248070091E-3	1.257724762E-1	3.629365563E-2	1.311048425E-1
1.027869460E0	2.188303694E-2	1.401271820E-1	3.401160240E-3	1.418663538E-1
1.035925990E0	8.193258196E-2	1.041965485E-1	-5.056840926E-2	1.418697738E-1
1.043982522E0	4.183306545E-2	1.089658737E-1	-8.536680043E-2	1.446065615E-1
1.052039053E0	-4.834624380E-2	1.352844238E-1	-1.346597373E-1	1.969072865E-1
1.060065069E0	-1.170759350E-1	1.448545456E-1	-7.217207551E-2	1.997458946E-1
1.068121599E0	-8.326631784E-2	1.233139038E-1	-3.217205405E-3	1.488285892E-1
1.076178131E0	-8.577537537E-2	1.281108856E-1	1.134933382E-1	1.914433385E-1
1.084234662E0	3.610474989E-2	1.472759247E-1	2.253148705E-1	2.715889206E-1
1.092291194E0	8.843319118E-2	1.209383011E-1	2.541102171E-1	2.949889903E-1
1.100347726E0	5.957081914E-2	1.113576889E-1	2.712132335E-1	2.991752586E-1
1.108404257E0	5.010551214E-2	1.233062744E-1	1.696806997E-1	2.156537491E-1
1.116430271E0	5.742518231E-2	1.136922836E-1	-2.591982484E-3	1.273982154E-1
1.124486803E0	6.507672369E-2	1.256132126E-1	-1.885242611E-1	2.357012010E-1
1.132543335E0	-2.275090665E-2	1.471147537E-1	-2.237854600E-1	2.687755320E-1
1.140599866E0	-1.247822791E-1	1.470842361E-1	-1.189490408E-1	2.266125857E-1
1.148656398E0	-9.581702203E-2	1.111564636E-1	1.047090143E-1	1.802793354E-1
1.156682412E0	-1.459390484E-2	1.422691345E-1	1.535732895E-1	2.098529103E-1
1.164738944E0	4.247545078E-2	1.230964661E-1	1.550678760E-1	2.024918518E-1
1.172795475E0	5.658011138E-2	1.206769943E-1	1.473945379E-1	1.987193895E-1
1.180852007E0	4.692877829E-2	1.254367828E-1	1.448028833E-1	1.972424187E-1
1.188908538E0	-6.439983845E-4	1.253986359E-1	1.067901552E-1	1.647099567E-1
1.196934552E0	-4.309416935E-2	1.301441193E-1	1.218857467E-1	1.834413652E-1
1.204991084E0	-6.176453084E-2	1.540403366E-1	1.039228663E-1	1.958143118E-1
1.213047616E0	-2.799494565E-2	1.156845093E-1	2.876562625E-2	1.224503325E-1
1.221104147E0	5.825198814E-2	1.060590744E-1	-1.370888650E-1	1.828528871E-1
1.229160679E0	4.167144373E-2	1.251678467E-1	-2.337636948E-1	2.684193809E-1
1.237217211E0	-4.867737740E-2	1.466798782E-1	-1.804748178E-1	2.376039427E-1
1.245243225E0	-5.535714328E-2	1.298971176E-1	-5.636661500E-2	1.520357516E-1
