"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
9.309793360E-1	-6.513430178E-2	-9.956359863E-4	1.785821915E-1	1.900922609E-1
9.390358580E-1	-4.444749653E-2	8.388519287E-3	1.537185907E-1	1.602353030E-1
9.470923800E-1	2.401667833E-2	6.062030792E-2	6.076729298E-2	8.913072684E-2
9.551489020E-1	7.032808661E-2	2.555847168E-3	-7.190585136E-2	1.006132376E-1
9.632054230E-1	1.407917440E-1	-5.350112915E-4	-2.304426432E-1	2.700489089E-1
9.712314280E-1	1.836424768E-1	8.542060852E-3	-2.752577066E-1	3.310050319E-1
9.792879500E-1	2.011198103E-1	1.292324066E-2	-2.847918272E-1	3.488876225E-1
9.873444720E-1	2.121501863E-1	-1.703262329E-3	-2.401492596E-1	3.204407426E-1
9.954009930E-1	1.214274168E-1	3.408145905E-2	-1.173807383E-1	1.722916165E-1
1.003457515E0	-2.558392286E-2	1.178541183E-1	5.491566658E-2	1.325136248E-1
1.011514038E0	-1.006833166E-1	1.705141068E-1	1.146248579E-1	2.288035159E-1
1.019570559E0	-9.865836799E-2	1.488494873E-1	1.200891733E-1	2.152000302E-1
1.027596563E0	-2.630758286E-2	9.850406647E-2	1.298797131E-2	1.027804817E-1
1.035653086E0	1.437893510E-2	7.227420807E-2	-7.102406025E-2	1.023461385E-1
1.043709608E0	6.433293223E-2	9.668731689E-2	-7.553923130E-2	1.385400263E-1
1.051766129E0	6.856980920E-2	6.869506836E-2	-3.118681908E-2	1.019482655E-1
1.059822651E0	7.248070836E-2	6.240940094E-2	-2.112805843E-2	9.795295434E-2
1.067848656E0	9.080386162E-2	4.170322418E-2	3.710603714E-2	1.065896720E-1
1.075905177E0	1.237764359E-1	5.184268951E-2	8.244848251E-2	1.574992787E-1
1.083961699E0	1.692771018E-1	2.811336517E-2	9.126555920E-2	1.943566330E-1
1.092018221E0	1.962460876E-1	2.089118958E-2	7.259368896E-2	2.102826963E-1
1.100074743E0	2.189189196E-1	-8.020401001E-3	4.982578754E-2	2.246606981E-1
1.108100747E0	1.753856540E-1	4.443931580E-2	1.511394978E-2	1.815582878E-1
1.116157270E0	6.124913692E-3	2.263040543E-1	3.466939926E-2	2.290262142E-1
1.124213792E0	-7.786312699E-2	3.126258850E-1	7.949113846E-2	3.318379900E-1
1.132270313E0	-3.932356834E-2	2.050476074E-1	4.785490036E-2	2.141984029E-1
1.140326835E0	2.176833153E-2	1.478900909E-1	1.807606220E-2	1.505725183E-1
1.148383357E0	7.278597355E-2	1.101284027E-1	3.977262974E-2	1.378692319E-1
1.156409362E0	1.376344264E-1	7.749843597E-2	1.411485672E-1	2.118305004E-1
1.164465883E0	1.266442537E-1	3.298568726E-2	2.227827311E-1	2.583775683E-1
1.172522405E0	1.449124813E-1	1.462459564E-2	2.263163328E-1	2.691330313E-1
1.180578927E0	1.805037260E-1	2.226543427E-2	1.693024635E-1	2.484766967E-1
1.188635449E0	1.522964537E-1	7.748603821E-2	4.430580139E-2	1.765256354E-1
1.196691971E0	1.250382960E-1	1.587858200E-1	-5.316114426E-2	2.089823422E-1
1.204748492E0	3.836056590E-2	2.232713699E-1	-7.617509365E-2	2.390068671E-1
1.212805014E0	-4.108649492E-2	2.304973602E-1	1.225197315E-2	2.344509415E-1
1.220861537E0	-8.048252761E-2	1.805992126E-1	1.756277084E-1	2.644590797E-1
1.228887541E0	-1.060524285E-1	1.789045334E-1	2.823623419E-1	3.506885253E-1
1.236944062E0	-3.147754073E-2	1.271648407E-1	2.658187151E-1	2.963466240E-1
1.245000585E0	2.839300036E-2	9.707832336E-2	1.626234055E-1	1.915117107E-1
1.253057106E0	-7.024347782E-3	1.650886536E-1	1.746191978E-1	2.404068827E-1
1.261083111E0	-9.490795434E-2	2.089424133E-1	2.619342804E-1	3.482441947E-1
1.269139633E0	-9.489013255E-2	2.212266922E-1	2.631158829E-1	3.566165369E-1
1.277196155E0	-5.750659108E-2	1.996450424E-1	2.064234018E-1	2.928750105E-1
1.285252676E0	-2.091228962E-2	1.898097992E-1	1.007912159E-1	2.159258042E-1
1.293309198E0	1.131457686E-1	1.559286118E-1	-2.572166920E-2	1.943638372E-1
1.301365720E0	1.755391061E-1	6.953620911E-2	-1.411032677E-1	2.357104035E-1
1.309391725E0	2.250739336E-1	4.096031189E-2	-1.652647257E-1	2.822205738E-1
1.317448246E0	1.305217147E-1	7.739353180E-2	-7.200145721E-2	1.679579906E-1
1.325504768E0	-1.503989100E-2	1.810779572E-1	7.865905762E-3	1.818716508E-1
1.333561291E0	-9.828752279E-2	2.823848724E-1	4.216122627E-2	3.019589746E-1
1.341617812E0	-5.623888969E-2	2.710914612E-1	-9.052157402E-3	2.770114340E-1
1.349643816E0	1.531606913E-2	1.830568314E-1	-1.829624176E-3	1.837055606E-1
1.357700339E0	3.889992833E-2	5.900955200E-2	9.450781345E-2	1.180129588E-1
1.365756860E0	2.244547009E-2	5.708122253E-2	1.930475235E-1	2.025571806E-1
1.373813382E0	-4.805779457E-2	8.863353729E-2	1.838592291E-1	2.096894649E-1
1.381869904E0	-5.367168784E-2	1.582899094E-1	9.905540943E-2	1.942892679E-1
1.389926425E0	-4.484444857E-3	1.680669785E-1	7.190060616E-2	1.828559998E-1
1.397952430E0	9.068846703E-3	1.609535217E-1	-5.520391464E-2	1.703988038E-1
1.406008952E0	-1.998013258E-2	1.562185287E-1	-1.248363256E-1	2.009665211E-1
1.414065474E0	-1.782676578E-2	1.802120209E-1	-4.126143456E-2	1.857327974E-1
1.422121996E0	-4.644888639E-2	1.441612244E-1	6.955802441E-2	1.666681626E-1
1.430178518E0	-8.882716298E-2	1.054706573E-1	8.337068558E-2	1.611365746E-1
1.438235040E0	-1.281393319E-1	1.504411697E-1	1.336795092E-1	2.385842516E-1
1.446291561E0	-1.239342839E-1	1.739492416E-1	9.008479118E-2	2.318044758E-1
1.454317566E0	-1.247254461E-1	1.737318039E-1	1.430320740E-2	2.143449517E-1
1.462374088E0	-9.502294660E-2	1.906461716E-1	1.570689678E-2	2.135931406E-1
1.470430609E0	-4.911547899E-2	1.742410660E-1	4.012441635E-2	1.854245079E-1
1.478487131E0	-1.570084691E-2	1.531419754E-1	8.808922768E-2	1.773659868E-1
1.486543654E0	-6.308019161E-3	1.224193573E-1	8.126389980E-2	1.470717905E-1
1.494600175E0	5.841135979E-3	1.490602493E-1	8.203804493E-2	1.702448754E-1
1.502626179E0	-1.551702619E-2	1.804094315E-1	9.281492233E-2	2.034771507E-1
1.510682702E0	-8.180379868E-3	1.516666412E-1	1.024247408E-1	1.831952953E-1
1.518739224E0	-7.028877735E-4	1.250715256E-1	1.515965462E-1	1.965321688E-1
1.526795745E0	-1.688289642E-2	1.295127869E-1	2.083441019E-1	2.458980662E-1
1.534852267E0	-4.684066772E-2	8.601188660E-2	2.437381744E-1	2.626792540E-1
1.542908789E0	-1.265706271E-1	1.143798828E-1	2.141743898E-1	2.738129845E-1
1.550965311E0	-8.640444279E-2	1.332149506E-1	1.268932819E-1	2.032581014E-1
1.558991315E0	-6.576266885E-2	1.186017990E-1	6.325709820E-2	1.496414910E-1
1.567047838E0	-3.539207578E-2	1.447257996E-1	1.855456829E-2	1.501413604E-1
1.575104359E0	-7.430484891E-2	1.899871826E-1	-9.320735931E-3	2.042136534E-1
1.583160881E0	-3.225246072E-2	1.969013214E-1	-4.648709297E-2	2.048692300E-1
1.591217403E0	-3.842192888E-2	1.247835159E-1	-6.910312176E-2	1.477241074E-1
1.599243408E0	-5.867883563E-2	1.125526428E-1	-2.728521824E-2	1.298298359E-1
1.607299929E0	-4.804739356E-2	6.692314148E-2	4.507887363E-2	9.391146757E-2
1.615356451E0	1.036283374E-2	1.169872284E-2	8.642411232E-2	8.782582553E-2
1.623412973E0	-1.456275582E-2	-2.200317383E-2	1.062736511E-1	1.095002394E-1
1.631469495E0	-1.733708382E-2	4.957485199E-2	5.212950706E-2	7.399814817E-2
1.639495499E0	-1.010157615E-1	1.928825378E-1	-4.229462147E-2	2.218032743E-1
1.647552021E0	-4.275223613E-2	1.949205399E-1	-6.452310085E-2	2.097260144E-1
1.655608544E0	5.047169328E-2	1.371765137E-1	-7.259297371E-2	1.632008810E-1
1.663665065E0	4.754719138E-2	8.670616150E-2	-6.851077080E-3	9.912432147E-2
1.671721587E0	6.153759360E-2	4.356670380E-2	5.569875240E-2	9.374051486E-2
1.679778108E0	3.747078776E-2	-4.264831543E-3	1.488211155E-1	1.535251547E-1
1.687834630E0	4.715409875E-2	5.263328552E-3	1.083446741E-1	1.182784007E-1
1.695860635E0	4.295900464E-2	4.576206207E-2	1.566052437E-3	6.278610455E-2
1.703917157E0	-3.504866362E-2	1.269159317E-1	-1.050554514E-1	1.684420090E-1
1.711973678E0	-1.290509105E-2	1.530475616E-1	-1.399984360E-1	2.078212202E-1
1.720030201E0	-2.964183688E-2	1.721019745E-1	-1.466689110E-1	2.280559089E-1
1.728086723E0	-3.736788034E-2	1.770019531E-1	-7.292926311E-2	1.950505763E-1
1.736143244E0	-6.706950068E-2	1.558389664E-1	8.803784847E-2	1.911406920E-1
1.744199766E0	-8.981749415E-2	1.180820465E-1	2.122614384E-1	2.589700179E-1
1.752256287E0	-9.359905124E-2	9.471702576E-2	2.095111609E-1	2.482479081E-1
1.760282292E0	-3.773936629E-2	1.264238358E-1	1.828246117E-1	2.254597185E-1
1.768338814E0	2.737492323E-2	1.221704483E-1	1.133472919E-1	1.688863921E-1
1.776395336E0	-1.972162724E-2	1.513414383E-1	5.628502369E-2	1.626689196E-1
1.784451858E0	1.461830735E-2	2.067527771E-1	5.238926411E-2	2.137873727E-1
1.792508380E0	5.313581228E-2	1.446876526E-1	1.116952896E-1	1.903516984E-1
1.800564902E0	1.060408950E-1	6.805038452E-2	1.074273586E-1	1.655782704E-1
1.808621423E0	7.873365283E-2	1.061477661E-1	1.086980104E-1	1.711186542E-1
1.816647428E0	-6.933176517E-2	2.159786224E-1	1.221653223E-1	2.576393312E-1
1.824703950E0	-1.002534032E-1	2.971029282E-1	1.187990904E-1	3.353119721E-1
1.832760472E0	-8.004456758E-3	2.274818420E-1	6.252622604E-2	2.360542072E-1
1.840816993E0	9.080985188E-2	1.581335068E-1	4.566216469E-2	1.879831600E-1
1.848873516E0	7.277342677E-2	1.633243561E-1	6.296706200E-2	1.895670536E-1
1.856869003E0	3.147545457E-2	2.190294266E-1	1.483426094E-1	2.664021841E-1
1.864925525E0	-3.328752518E-2	1.621646881E-1	2.458333969E-1	2.963773008E-1
1.872951530E0	-7.333844900E-3	2.103624344E-1	2.514652014E-1	3.279342717E-1
1.881008052E0	-1.025792956E-2	1.839418411E-1	2.065063715E-1	2.767394217E-1
1.889034056E0	-7.977992296E-3	8.045387268E-2	1.159366369E-1	1.413427670E-1
1.897090578E0	-3.629064560E-2	2.114124298E-1	1.339738369E-1	2.529055464E-1
1.905147100E0	-6.236585975E-2	1.915454865E-1	1.232818365E-1	2.361727864E-1
1.913203621E0	-6.210443377E-2	2.529897690E-1	-1.860976219E-3	2.605076719E-1
1.921260143E0	-3.388035297E-2	2.187318802E-1	-4.577565193E-2	2.260241669E-1
1.929316665E0	-2.242738008E-2	2.396659851E-1	-4.725027084E-2	2.453066650E-1
1.937342670E0	2.447435260E-2	1.625642776E-1	-1.099145412E-2	1.647633162E-1
1.945399191E0	3.099152446E-2	1.262273788E-1	6.798207760E-2	1.466812484E-1
1.953455713E0	3.791561723E-2	1.352891922E-1	3.243303299E-2	1.441966060E-1
1.961512236E0	-3.809446096E-2	1.347017288E-1	-4.358696938E-2	1.466136679E-1
1.969568757E0	-5.373305082E-2	1.436882019E-1	-8.618223667E-2	1.759571483E-1
1.977625279E0	-6.918621063E-2	1.550512314E-1	-1.191360950E-1	2.074151037E-1
1.985651284E0	-1.900581717E-1	1.808309555E-1	-1.020538807E-1	2.814905641E-1
1.993707806E0	-1.896139383E-1	2.067356110E-1	-3.280913830E-2	2.824349447E-1
2.001764327E0	-1.188790351E-1	1.824111938E-1	-2.098894119E-2	2.187386666E-1
2.009820849E0	-2.010768652E-2	1.293420792E-1	-7.360446453E-2	1.501709349E-1
2.017877370E0	6.618031859E-2	8.603477478E-2	-5.766081810E-2	1.229088564E-1
2.025933893E0	1.215406656E-1	4.778957367E-2	-5.997180939E-2	1.437101064E-1
2.033990415E0	1.320097446E-1	2.399349213E-2	-2.692914009E-2	1.368482332E-1
2.042016419E0	9.587708116E-2	-2.146244049E-2	7.827258110E-2	1.256170689E-1
2.050072941E0	3.190457821E-3	2.147197723E-2	1.101219654E-1	1.122411337E-1
2.058129463E0	-6.277063489E-2	1.287927628E-1	8.578872681E-2	1.669953113E-1
2.066185985E0	-5.284735560E-2	1.952133179E-1	3.396487236E-2	2.050724141E-1
2.074242506E0	-4.146599770E-2	2.304067612E-1	-2.192962170E-2	2.351331811E-1
2.082299028E0	-9.164869785E-3	2.008953094E-1	-5.820667744E-2	2.093583949E-1
2.090355550E0	5.585429072E-2	1.404714584E-1	-6.431317329E-2	1.642806035E-1
2.098290004E0	7.275205851E-2	1.377401352E-1	-2.612388134E-2	1.579482955E-1
